"DMAP-SL(phi=2)(init1)" "DMAP-SL(phi=2)(init2)" "DMAP-SL(phi=log(n))(init1)" "DMAP-SL(phi=log(n))(init2)"
"Time(s)" 0.0596500000035303 0.0757500000047003 0.0580500000038592 0.0769500000049447
"MSPE" 1.12107774794109 1.11608381783682 1.17535680011389 1.17346857196198
"Time(s)" 0.0629000000047381 0.0833500000021741 0.0650500000046304 0.0860000000028231
"MSPE" 1.09009690415523 1.08692423936707 1.14184664032303 1.14099442858416
"Time(s)" 0.0642000000047847 0.0890000000030705 0.0646000000045751 0.087900000002337
"MSPE" 1.12097319981432 1.11651895968899 1.17144079639281 1.17061101620416
"Time(s)" 0.0651500000041415 0.0899000000036904 0.0654000000048836 0.0879000000039377
"MSPE" 0.173537722715631 0.169166580451893 0.184515125989059 0.181577947743596
"Time(s)" 0.111850000007034 0.13465000000775 0.108750000006403 0.136950000006982
"MSPE" 0.159075638534476 0.150317691340931 0.175269626655859 0.172426558497898
